epoch,model_type,train_acc,val_accuracy,val_macro_f1,val_precision,val_recall,saved
1,gru,0.209524,0.234043,0.205403,0.365642,0.216964,1
2,gru,0.340476,0.290780,0.257141,0.353877,0.266964,1
3,gru,0.430952,0.475177,0.438695,0.510884,0.451511,1
4,gru,0.557143,0.489362,0.466991,0.508252,0.470124,1
5,gru,0.588095,0.567376,0.511860,0.624370,0.549107,1
6,gru,0.595238,0.631206,0.581274,0.612434,0.603571,1
7,gru,0.692857,0.723404,0.682649,0.700324,0.698214,1
8,gru,0.740476,0.808511,0.756591,0.759038,0.777679,1
9,gru,0.823810,0.780142,0.731166,0.742238,0.749107,0
10,gru,0.816667,0.858156,0.869076,0.896645,0.863393,1
11,gru,0.873810,0.858156,0.801395,0.794099,0.824107,0
12,gru,0.876190,0.872340,0.879601,0.896977,0.875893,1
13,gru,0.895238,0.886525,0.895678,0.912512,0.895536,1
14,gru,0.916667,0.921986,0.928398,0.931586,0.929464,1
15,gru,0.942857,0.950355,0.955846,0.957778,0.955357,1
