epoch,model_type,train_acc,val_accuracy,val_macro_f1,val_precision,val_recall,saved
1,lstm,0.214286,0.205674,0.190125,0.223206,0.205426,1
2,lstm,0.366667,0.290780,0.275236,0.394046,0.278434,1
3,lstm,0.430952,0.347518,0.324546,0.383422,0.333654,1
4,lstm,0.521429,0.609929,0.569280,0.586902,0.591209,1
5,lstm,0.664286,0.652482,0.621662,0.658807,0.628571,1
6,lstm,0.723810,0.673759,0.636212,0.632489,0.650000,1
7,lstm,0.811905,0.829787,0.835329,0.864641,0.836607,1
8,lstm,0.857143,0.822695,0.825666,0.880160,0.832143,0
9,lstm,0.845238,0.758865,0.766854,0.804949,0.771429,0
10,lstm,0.823810,0.893617,0.901020,0.907059,0.899107,1
11,lstm,0.871429,0.836879,0.846791,0.882689,0.842857,0
12,lstm,0.885714,0.865248,0.876465,0.911903,0.879464,0
13,lstm,0.921429,0.907801,0.918335,0.927949,0.917857,1
14,lstm,0.888095,0.865248,0.877423,0.888274,0.878571,0
15,lstm,0.878571,0.858156,0.867321,0.874840,0.870536,0
