epoch,model_type,train_acc,val_accuracy,val_macro_f1,val_precision,val_recall,saved
1,tcn,0.190476,0.255319,0.199841,0.345185,0.243613,1
2,tcn,0.333333,0.340426,0.331367,0.427019,0.338736,1
3,tcn,0.480952,0.439716,0.393286,0.423400,0.433036,1
4,tcn,0.540476,0.638298,0.589016,0.610710,0.621429,1
5,tcn,0.680952,0.709220,0.706641,0.769261,0.720536,1
6,tcn,0.747619,0.751773,0.743461,0.785657,0.762500,1
7,tcn,0.852381,0.751773,0.763396,0.822992,0.762500,1
8,tcn,0.821429,0.886525,0.886898,0.912022,0.883929,1
9,tcn,0.938095,0.921986,0.916515,0.937391,0.913393,1
10,tcn,0.923810,0.893617,0.891799,0.906169,0.888393,0
11,tcn,0.928571,0.886525,0.884065,0.913094,0.882143,0
12,tcn,0.921429,0.872340,0.871662,0.919134,0.870536,0
13,tcn,0.911905,0.907801,0.906780,0.919913,0.903571,0
14,tcn,0.935714,0.900709,0.898157,0.913735,0.894643,0
15,tcn,0.942857,0.921986,0.917247,0.927174,0.914286,1
