epoch,model_type,train_acc,val_accuracy,val_macro_f1,val_precision,val_recall,saved
1,transformer,0.247619,0.517730,0.511961,0.610880,0.548214,1
2,transformer,0.628571,0.723404,0.707804,0.702165,0.740179,1
3,transformer,0.776190,0.858156,0.859297,0.883024,0.855357,1
4,transformer,0.876190,0.872340,0.872004,0.892137,0.869643,1
5,transformer,0.900000,0.943262,0.938454,0.954063,0.934821,1
6,transformer,0.935714,0.929078,0.925480,0.941327,0.921429,0
7,transformer,0.935714,0.950355,0.943928,0.953449,0.940179,1
8,transformer,0.952381,0.900709,0.896947,0.915985,0.892857,0
9,transformer,0.942857,0.900709,0.898647,0.915703,0.895536,0
10,transformer,0.964286,0.950355,0.945772,0.959211,0.941964,1
11,transformer,0.971429,0.921986,0.918433,0.935637,0.914286,0
12,transformer,0.950000,0.950355,0.945017,0.956197,0.941071,0
13,transformer,0.973810,0.950355,0.944781,0.955357,0.941071,0
14,transformer,0.990476,0.964539,0.957566,0.967308,0.953571,1
15,transformer,0.985714,0.957447,0.950184,0.959332,0.946429,0
